NO,FOOD_NAME,FOOD_TYPE,AMOUNT_PER_SERVINGS,UNIT,KCAL,PROTEIN,FAT,CARBOHYDRATE
51,해파리냉채,어패류무침,150,g,91,6.2,1.4,13.4
52,고들빼기,김치,50,g,55.525,1.58,0.608,10.934
53,열무얼갈이김치,김치,50,g,17.684,1.074,0.328,2.608
54,미나리나물,나물.숙채류,50,g,29.534,1.016,1.833,2.242
55,취나물,나물.숙채류,50,g,74.1,1.375,6.153,3.306
56,콩나물,나물.숙채류,50,g,25.344,1.68,1.65,0.944
57,경단(깨),떡류,100,g,319.466,4.442,0.536,74.219
58,경단(콩),떡류,100,g,314.324,3.513,0.461,74.031
59,기피편,떡류,100,g,219.967,5.449,0.247,48.988
60,녹두시루떡,떡류,100,g,246.07,7.738,2.534,48.077
61,메밀전병,곡류 및 서류,100,g,167.827,6.185,6.289,21.62
62,무지개떡,떡류,100,g,228.974,3.53,0.312,53.011
63,송편(깨),떡류,100,g,224.146,4.925,2.735,44.957
64,송편(콩),떡류,100,g,194.334,5.237,0.749,41.661
65,수수부꾸미,곡류 및 서류,100,g,247.892,5.729,6.287,42.099
66,수수팥떡,떡류,100,g,204.241,6.696,0.591,43.034
67,시루떡,떡류,100,g,217.481,5.466,0.607,47.539
68,쑥떡,떡류,100,g,248.635,3.359,0.404,57.889
69,절편,떡류,100,g,192.886,3.642,0.285,43.938
70,찹쌀떡,떡류,100,g,276.866,3.265,0.153,65.609
71,간자장,중식면류,650,g,824.539,22.334,22.034,134.224
72,굴짬뽕,중식면류,900,g,680.672,32.869,9.605,115.688
73,기스면,중식면류,1000,g,606.931,37.819,10.724,89.785
74,김치라면,라면류,650,g,552,13.8,16.9,86.2
75,김치우동,중식면류,800,g,500.177,15.548,4.601,99.144
76,냉김치말이국수,국수류,600,g,302.53,12.9,4.8,52
77,닭칼국수,국수류,900,g,663,42.2,12.8,94.7
78,둘깨칼국수,국수류,600,g,457.88,17.6,16.5,59.8
79,막국수,국수류,1000,g,571.59,20,5.8,109.8
80,삼선우동,중식면류,1000,g,691.656,47.939,8.478,105.9
81,삼선자장면,중식면류,700,g,803.898,33.638,18.135,126.533
82,삼선짬뽕,중식면류,900,g,662.366,39.626,10.77,101.733
83,쌀국수,국수류,600,g,320.32,15.6,4.2,55.1
84,열무김치국수,국수류,800,g,431,15,10.2,69.6
85,열무냉면,중식면류,800,g,525.492,20.842,5.783,97.52
86,오일소스스파게티,스파게티류,400,g,646.736,19.555,23.426,89.42
87,올갱이국수,국수류,1500,g,566,11.2,8.3,111.6
88,우동(일식),중식면류,700,g,421.514,13.39,7.906,74.199
89,우동(중식),중식면류,1000,g,648.471,29.452,21.022,85.366
90,울면,중식면류,1000,g,728.857,37.455,7.369,128.178
91,자장면,중식면류,650,g,796.503,19.771,20.321,133.631
92,짬뽕라면,라면류,750,g,689,21.3,26.3,92
93,치즈라면,라면류,600,g,595,16.8,23,80
94,크림소스스파게티,스파게티류,400,g,837.57,21.794,50.594,73.763
95,토마토소스스파게티,스파게티류,500,g,642.583,24.349,19.152,93.204
96,해물칼국수,국수류,900,g,628.262,22.803,4.605,123.901
97,해물크림소스스파게티,스파게티류,500,g,917.569,30.394,49.789,86.973
98,해물토마토소스스파게티,스파게티류,500,g,584.438,27.974,13.73,87.243
99,골뱅이무침,어패류무침,100,g,108.792,7.081,1.966,15.693
100,노각무침,나물.채소류무침,150,g,84,2.6,1.8,14.3
101,단무지무침,나물.채소류무침,50,g,20,0.5,0.8,2.8
102,달래나물무침,나물.채소류무침,150,g,136,4,2.8,23.8
103,더덕무침,나물.채소류무침,150,g,216,4.3,2.8,43.4
104,도토리묵,기타,100,g,45.598,0.292,0.324,10.377
105,밴댕이무침,어패류무침,400,g,600.01,29.8,33,46
106,서대회무침,어패류무침,300,g,315.21,22.6,4.6,45.9
107,쑥갓나물무침,나물.채소류무침,150,g,96,4.5,5.7,6.6
108,우거지나물무침,나물.채소류무침,150,g,129,4.5,8.5,8.7
109,쥐치채,어패류무침,20,g,55.917,2.754,0.147,10.895
110,청포묵무침,기타 생채.무침류,250,g,149,2.9,5.2,22.7
111,탕평채,기타 생채.무침류,100,g,97.496,3.552,3.807,12.256
112,홍어무침,어패류무침,200,g,198.937,17.854,2.634,25.954
113,고추장불고기 삼각김밥,김밥(초밥)류,100,g,165.289,3.661,1.578,34.112
114,곤드레나물밥,기타 밥류,350,g,521.83,10.3,9.5,98.9
115,국밥,기타 밥류,800,g,418.35,27.6,8.2,58.6
116,농어초밥,김밥(초밥)류,250,g,396.743,17.433,1.336,78.747
117,돼지국밥,기타 밥류,1200,g,911.4,66.4,38.6,74.7
118,류산슬덮밥,덮밥류,550,g,574.992,26.962,19.039,73.947
119,멍게비빔밥,비빔밥류,400,g,547.21,16.6,13.1,90.7
120,멸치주먹밥,김밥(초밥)류,150,g,312,9,6.6,54.3
121,묵밥,기타 밥류,950,g,642.16,14.8,7.7,128.6
122,문어초밥,김밥(초밥)류,250,g,392.227,14.614,0.74,81.778
123,비빔밥,비빔밥류,450,g,691.62,24.6,22,98.7
124,삼선볶음밥,볶음밥류,400,g,686.108,26.237,26.461,85.754
125,새우초밥,김밥(초밥)류,250,g,387.671,16.804,0.752,78.422
126,새우튀김롤,김밥(초밥)류,300,g,606.504,14.467,18.168,96.281
127,샐러드김밥,김밥(초밥)류,250,g,405.948,9.616,13.52,61.451
128,생선초밥(광어),김밥(초밥)류,300,g,453.777,27.069,3.923,77.547
129,생선초밥(모듬),김밥(초밥)류,300,g,461.966,25.423,6.061,76.431
130,소고기국밥,기타 밥류,700,g,330.53,21.8,8.1,42.6
131,소고기김밥,김밥(초밥)류,250,g,400.609,15.978,9.625,62.518
132,송이덮밥,덮밥류,600,g,581.806,18.214,14.06,95.601
133,숯불갈비 삼각김밥,김밥(초밥)류,100,g,161.243,3.998,1.674,32.547
134,약초비빔밥,비빔밥류,400,g,511.8,11.9,15.9,80.2
135,연어롤,김밥(초밥)류,300,g,510.191,18.571,15.404,74.318
136,연어초밥,김밥(초밥)류,250,g,447.318,18.883,9.738,71.037
137,오곡밥,쌀밥.잡곡밥류,250,g,388.816,11.952,1.303,82.321
138,자장밥,덮밥류,500,g,741.66,15.236,22.277,120.057
139,잡탕밥,덮밥류,750,g,777.439,44.12,20.135,104.937
140,장어덮밥,덮밥류,400,g,716.541,30.088,22.976,97.351
141,장어초밥,김밥(초밥)류,250,g,486.26,16.52,10.828,80.681
142,참치덮밥,덮밥류,500,g,679.101,29.201,16.73,102.931
143,참치마요네즈 삼각김밥,김밥(초밥)류,100,g,172.397,3.941,3.202,31.953
144,충무김밥,김밥(초밥)류,400,g,583.926,23.425,5.956,109.156
145,캘리포니아롤,김밥(초밥)류,300,g,487.639,12.33,9.046,89.227
146,한치초밥,김밥(초밥)류,250,g,374.18,13.712,0.848,77.923
147,해물덮밥,덮밥류,700,g,771.933,42.037,22.443,100.449
148,해물볶음밥,볶음밥류,400,g,705.217,25.105,26.996,90.459
149,회덮밥,덮밥류,500,g,683.018,30.21,16.553,103.3
150,깻잎나물볶음,채소류볶음,200,g,206,7.5,14.4,11.5
151,돼지고기볶음,육류볶음,200,g,350.673,22.961,20.665,18.21
152,돼지껍데기볶음,육류볶음,150,g,352,25.8,16.7,24.5
153,두부김치,채소류볶음,250,g,288.213,19.466,17.115,14.079
154,머위나물볶음,채소류볶음,150,g,108,3.5,7,7.6
155,멸치풋고추볶음,어패류볶음,20,g,52.379,4.65,2.239,3.406
156,소세지볶음,육류볶음,200,g,471,18.8,29.9,31.8
157,순대볶음,육류볶음,400,g,582,20.7,21.3,76.7
158,양송이버섯볶음,채소류볶음,150,g,136,4.5,8.3,11
159,오삼불고기,육류볶음,200,g,363,25.6,19.9,20.5
160,주꾸미볶음,어패류볶음,200,g,211.413,18.326,5.201,22.825
161,표고버섯볶음,채소류볶음,150,g,142,4.5,6.7,15.8
162,해물볶음,어패류볶음,400,g,419.06,38.2,15.3,32.2
163,곰보빵,기타 빵류,70,g,277.336,6.313,9.273,42.157
164,만주,앙금빵류,70,g,222.494,5.13,1.64,46.803
165,버터크림빵,크림빵류,60,g,229.957,4.905,11.043,27.736
166,불고기피자,피자류,200,g,505,27.4,16.7,61.2
167,참치샌드위치,샌드위치류,250,g,555,23.3,35.1,36.5
168,찹쌀도우넛,"튀김빵류(도넛, 꽈배기 등)",70,g,207.047,3.526,3.682,39.952
169,채소고로케,"튀김빵류(도넛, 꽈배기 등)",100,g,300.653,7.125,16.378,31.187
170,초콜릿케이크,케이크류,100,g,420.243,5.315,24.955,43.597
171,치즈케이크,케이크류,100,g,329.145,7.225,20.632,28.638
172,치즈피자,피자류,200,g,553,31.4,15.8,71.2
173,페이스트리빵,페이스트리류,70,g,319.59,5.992,18.396,32.516
174,페퍼로니피자,피자류,200,g,532,29.4,14.8,70.3
175,포테이토피자,피자류,250,g,628,28,25.5,71.6
176,수정과,기타 음료 및 차류,150,g,133.004,0.597,5.474,20.337
177,식혜,기타 음료 및 차류,150,g,130.137,2.302,2.628,24.319
178,간장마늘쫑장아찌,장아찌.절임류,50,g,30,1,0.5,5.4
179,고추장마늘쫑장아찌,장아찌.절임류,50,g,55,1.3,0.9,10.5
180,매실장아찌,장아찌.절임류,30,g,72.879,0.496,0.129,17.432
181,무장아찌,장아찌.절임류,30,g,23.923,0.441,0.227,5.029
182,계적,적류,250,g,488.084,57.721,30.429,0
183,낙지꼬지,어패류전,80,g,75.354,13.14,1.276,2.828
184,돔베기적,적류,100,g,159.486,30.077,7.417,0
185,소고기산적,적류,200,g,453.075,48.41,25.568,7.331
186,소라산적,적류,80,g,120.1,17.922,2.512,6.451
187,오징어산적,적류,80,g,101.709,17.375,1.977,3.603
188,홍어적,적류,100,g,89.153,23.592,0.66,0
189,홍합산적,적류,80,g,156.665,17.782,4.804,10.576
190,가자미전,어패류전,150,g,230.282,25.76,11.065,6.915
191,고추전,채소류전,150,g,274.689,12.91,17.223,17.01
192,굴전,어패류전,100,g,195,10.6,10.5,14.5
193,깻잎전,채소류전,150,g,361.099,17.736,25.776,14.543
194,녹두빈대떡,부침류,100,g,207.942,7.945,10.27,20.934
195,동그랑땡(육원전),육류전,150,g,309.2,19.618,20.001,12.681
196,동태전,어패류전,150,g,268.045,22.636,15.04,10.536
197,두부전,채소류전,150,g,254.643,20.458,15.868,7.499
198,미나리전,채소류전,150,g,226.413,5.239,7.617,34.227
199,배추전,채소류전,150,g,240.746,5.166,8.669,35.515
200,버섯전,채소류전,150,g,240.687,10.524,14.868,16.194
201,야채전,채소류전,100,g,194,5.4,9.5,21.6
202,파전,채소류전,150,g,292.799,6.834,14.026,34.807
203,햄부침,육류전,100,g,244,11.3,17.1,11.3
204,호박부침개,채소류전,100,g,129,3.9,8.1,10.1
205,호박전,채소류전,150,g,208.104,6.478,13.09,16.096
206,화양적,적류,150,g,272.647,13.582,14.77,21.347
207,가자미조림,어패류조림,300,g,297.98,37.1,7.1,21.5
208,고추조림,채소류조림,100,g,111,3.3,4.9,13.4
209,동태조림,어패류조림,250,g,276,40.8,4.7,17.4
210,돼지고기메추리알장조림,육류조림,50,g,63.492,8.336,1.851,3.372
211,북어조림,어패류조림,100,g,181.86,20.826,3.331,17.143
212,소고기메추리알장조림,육류조림,50,g,60.652,8.137,1.842,2.883
213,조기조림,어패류조림,300,g,384,41.1,18.8,12.8
214,게살죽,죽류,800,g,564.83,17.898,7.095,107.346
215,깨죽,죽류,800,g,515.348,13.656,15.944,79.305
216,백합죽,죽류,700,g,455.28,16.5,5.6,84.7
217,소고기버섯죽,죽류,800,g,578.278,18.747,7.465,109.026
218,어죽,죽류,800,g,552.06,20.4,7.5,100.8
219,잣죽,죽류,700,g,874.482,19.179,19.629,155.275
220,참치죽,죽류,800,g,659.599,24.194,16.062,104.566
221,고등어찌개,어패류찌개.전골,600,g,601.62,48.9,33.7,25.6
222,김치찌개,채소류찌개.전골,400,g,243.032,15.069,15.005,11.929
223,꽁치찌개,어패류찌개.전골,300,g,355,24,23.3,12.2
224,두부전골,채소류찌개.전골,500,g,315.16,25.6,16.1,17.1
225,버섯찌개,채소류찌개.전골,400,g,167.56,14.7,5.2,15.4
226,부대찌개,육류찌개.전골,600,g,399.5,18.4,18.6,39.7
227,새우젓두부찌개,채소류찌개.전골,300,g,166,16.2,8.1,7.2
228,소곱창전골,육류찌개.전골,600,g,529,41.6,27.3,29.2
229,햄김치찌개,육류찌개.전골,300,g,189,11.1,10.4,12.7
230,호박찌개,채소류찌개.전골,300,g,95,5.6,2.6,12.2
231,대구찜,어패류찜,500,g,376.42,51.7,7.9,24.7
232,도미찜,어패류찜,100,g,125.506,22.996,3.485,0.54
233,동태찜,어패류찜,500,g,394.32,50.9,9.7,25.8
234,돼지등갈비찜,육류찜,450,g,961.04,72.1,49.2,57.4
235,돼지머리고기,육류찜,200,g,650,42.4,52,3.5
236,매운갈비찜,육류찜,300,g,517.44,61.3,19.7,23.7
237,문어숙회,어패류찜,80,g,66.914,14.862,0.505,0.73
238,민어찜,어패류찜,100,g,136.878,21.474,5.914,0
239,병어찜,어패류찜,100,g,179.688,18.857,11.515,0.157
240,북어찜,어패류찜,150,g,235,28.1,5.7,18
241,붕어찜,어패류찜,1100,g,835.6,54.3,36.9,71.6
242,소갈비찜,육류찜,250,g,494.599,49.86,26.956,13.138
243,순대 ,육류찜,300,g,542.415,19.561,25.636,58.362
244,아구찜,어패류찜,400,g,310.871,48.302,5.309,17.471
245,아구찜,어패류찜,750,g,492.32,65.4,6.5,43.1
246,안동찜닭,육류찜,1500,g,1364.21,114.2,38.8,139.5
247,전어찜,어패류찜,100,g,278.218,17.275,22.97,0.597
248,조기찜,어패류찜,100,g,182.118,20.058,10.59,1.642
249,참꼬막,어패류찜,80,g,90.787,12.472,2.503,4.592
250,한방오리백숙,육류찜,300,g,469.532,68.79,20.104,3.358
251,해물찜,어패류찜,500,g,400.08,42.6,9.8,35.4
252,홍어찜,어패류찜,250,g,202.669,47.12,1.034,1.221
253,갈낙탕,육류국.탕,400,g,261.77,35.8,12.8,0.8
254,곰탕,육류국.탕,300,g,183.25,19.4,3.7,18.1
255,광어매운탕,어패류국.탕,600,g,419.793,58.417,16.621,9.133
256,낙지탕,어패류국.탕,600,g,187.8,29.4,3.2,10.4
257,대구매운탕,어패류국.탕,600,g,361.747,57.361,7.214,16.844
258,대구지리탕,어패류국.탕,600,g,262.02,41.6,6.2,9.9
259,메기매운탕,어패류국.탕,600,g,400,28.6,10.2,48.6
260,복지리탕,어패류국.탕,600,g,232.05,41.7,2.7,10.3
261,소탕,육류국.탕,150,g,86.369,7.657,5.35,1.898
262,아구탕,어패류국.탕,600,g,246.07,37.8,4.9,12.8
263,어탕,어패류국.탕,150,g,85.87,12.699,3.09,1.817
264,연포탕,어패류국.탕,1000,g,541.644,94.902,9.03,20.191
265,우럭매운탕,어패류국.탕,600,g,406.816,52.146,17.032,11.235
266,육탕,육류국.탕,150,g,87.633,12.661,3.954,0.351
267,전복탕,어패류국.탕,600,g,196.85,26.8,3,15.8
268,조기매운탕,어패류국.탕,600,g,384.38,35.1,19.4,17.3
269,짱뚱어탕,어패류국.탕,600,g,188.77,11.5,8.5,16.6
270,추어탕,어패류국.탕,1000,g,316.72,22.7,13.2,26.8
271,해물탕,어패류국.탕,600,g,267.81,39.8,4.7,16.6
272,고구마맛탕,채소류튀김,200,g,491,3.3,11,94.6
273,고구마튀김,채소류튀김,100,g,252.964,2.723,11.874,33.802
274,고추튀김,채소류튀김,100,g,202,7.6,12.6,14.6
275,닭튀김,육류튀김,300,g,903,65.2,49.7,48.8
276,등심돈가스,육류튀김,200,g,623.828,32.992,37.545,38.489
277,모래집튀김,육류튀김,150,g,468.37,28.1,26.6,29.1
278,미꾸라지튀김,어패류튀김,100,g,387.487,10.887,25.391,28.855
279,생선까스,어패류튀김,200,g,653.441,24.334,41.096,46.56
280,안심돈가스,육류튀김,200,g,651.755,33.281,42.402,34.253
281,양념치킨,치킨류,200,g,552,35.5,26.8,42.3
282,쥐포튀김,어패류튀김,100,g,356.912,9.617,16.493,42.502
283,치즈돈가스,육류튀김,250,g,755.369,42.02,46.693,41.764
284,치킨까스,치킨류,200,g,592.998,27.913,33.918,44.021
285,대구포,포류,100,g,140.842,31.966,0.404,2.335
286,북어포,포류,20,g,66.463,15.423,0.389,0.317
287,매작과,한과류,30,g,123.861,2.254,3.946,19.833
288,산자,한과류,30,g,109.711,0.693,0.926,24.652
289,송화다식,한과류,30,g,110.827,2.489,1.345,22.192
290,약과,한과류,30,g,119.731,1.259,1.425,25.467
291,유과,한과류,30,g,127.091,0.842,3.85,22.269
292,글램핑 바비큐(오리지널 L),피자류,157,g,410,17,0,0
293,글램핑 바비큐(나폴리M),피자류,127,g,328,15,0,0
294,글램핑 바비큐(나폴리L),피자류,126,g,312,16,0,0
295,글램핑 바비큐(씬 M),피자류,105,g,266,13,0,0
296,글램핑 바비큐(씬 L),피자류,103,g,273,13,0,0
297,글램핑 바비큐(슈퍼시드 함유 도우M),피자류,172,g,485,24,0,0
298,글램핑 바비큐(슈퍼시드 함유 도우L),피자류,156,g,392,19,0,0
299,글램핑 바비큐 더블치즈엣지(오리지널 M),피자류,129,g,330,16,0,0
300,글램핑 바비큐 더블치즈엣지(오리지널 L),피자류,196,g,489,25,0,0
301,더블크러스트 이베리코(더블 크러스트 L),피자류,152,g,387,19,0,0
302,더블크러스트 이베리코(더블 크러스트 M),피자류,130,g,345,12,0,0
303,리얼불고기(오리지널 L),피자류,164,g,420,14,0,0
304,리얼불고기(오리지널 M),피자류,115,g,280,13,0,0
305,리얼불고기(나폴리L),피자류,130,g,334,16,0,0
306,리얼불고기(나폴리M),피자류,181,g,430,23,0,0
307,리얼불고기(씬 L),피자류,149,g,365,20,0,0
308,리얼불고기(씬 M),피자류,139,g,396,22,0,0
309,리얼불고기(슈퍼시드 함유 도우L),피자류,111,g,313,15,0,0
310,리얼불고기(슈퍼시드 함유 도우M),피자류,116,g,292,14,0,0
311,리얼불고기 더블치즈엣지(오리지널 L),피자류,133,g,344,17,0,0
312,리얼불고기 더블치즈엣지(오리지널 M),피자류,144,g,350,18,0,0
313,문어밤 슈림프(오리지널 L),피자류,170,g,428,21,0,0
314,문어밤 슈림프(오리지널 M),피자류,117,g,280,15,0,0
315,문어밤 슈림프(나폴리L),피자류,143,g,323,18,0,0
316,문어밤 슈림프(나폴리M),피자류,186,g,430,22,0,0
317,문어밤 슈림프(씬 L),피자류,111,g,254,15,0,0
318,문어밤 슈림프(씬 M),피자류,153,g,389,20,0,0
319,문어밤 슈림프(슈퍼시드 함유 도우L),피자류,130,g,333,19,0,0
320,문어밤 슈림프(슈퍼시드 함유 도우M),피자류,118,g,280,16,0,0
321,문어밤 슈림프 더블치즈엣지(오리지널 L),피자류,143,g,322,17,0,0
322,문어밤 슈림프 더블치즈엣지(오리지널 M),피자류,144,g,347,18,0,0
323,베스트 콰트로(오리지널 L),피자류,186,g,460,25,0,0
324,베스트 콰트로(오리지널 M),피자류,134,g,312,13,0,0
325,베스트 콰트로(나폴리L),피자류,157,g,387,18,0,0
326,베스트 콰트로(나폴리M),피자류,107,g,259,12,0,0
327,베스트 콰트로(씬 L),피자류,129,g,306,15,0,0
328,베스트 콰트로(씬 M),피자류,181,g,457,19,0,0
329,베스트 콰트로(슈퍼시드 함유 도우L),피자류,112,g,274,12,0,0
330,베스트 콰트로(슈퍼시드 함유 도우M),피자류,132,g,322,13,0,0
331,베스트 콰트로 더블치즈엣지(오리지널 L),피자류,159,g,393,17,0,0
332,베스트 콰트로 더블치즈엣지(오리지널 M),피자류,160,g,384,19,0,0
333,베이컨체더치즈(오리지널 L),피자류,194,g,455,23,0,0
334,베이컨체더치즈(오리지널 M),피자류,114,g,311,14,0,0
335,베이컨체더치즈(나폴리L),피자류,129,g,356,18,0,0
336,베이컨체더치즈(나폴리M),피자류,176,g,465,24,0,0
337,베이컨체더치즈(씬 L),피자류,143,g,382,21,0,0
338,베이컨체더치즈(씬 M),피자류,147,g,437,22,0,0
339,베이컨체더치즈(슈퍼시드 함유 도우L),피자류,125,g,377,19,0,0
340,베이컨체더치즈(슈퍼시드 함유 도우M),피자류,113,g,307,14,0,0
341,베이컨체더치즈 더블치즈엣지(오리지널 L),피자류,129,g,355,17,0,0
342,베이컨체더치즈 더블치즈엣지(오리지널 M),피자류,135,g,364,18,0,0
343,불고기(오리지널 L),피자류,158,g,436,21,0,0
344,불고기(오리지널 M),피자류,121,g,291,15,0,0
345,불고기(나폴리L),피자류,129,g,319,16,0,0
346,불고기(나폴리M),피자류,177,g,421,2,0,0
347,불고기(씬 L),피자류,102,g,250,14,0,0
348,불고기(씬 M),피자류,162,g,394,22,0,0
349,불고기(슈퍼시드 함유 도우L),피자류,125,g,312,18,0,0
350,불고기(슈퍼시드 함유 도우M),피자류,121,g,301,15,0,0
351,불고기 더블치즈엣지(오리지널 L),피자류,134,g,342,16,0,0
352,불고기 더블치즈엣지(오리지널 M),피자류,139,g,350,18,0,0
353,블랙앵거스 스테이크(오리지널 L),피자류,158,g,405,21,0,0
354,블랙앵거스 스테이크(오리지널 M),피자류,126,g,307,14,0,0
355,블랙앵거스 스테이크(나폴리L),피자류,160,g,383,17,0,0
356,블랙앵거스 스테이크(나폴리M),피자류,103,g,248,12,0,0
357,블랙앵거스 스테이크(씬 L),피자류,121,g,296,14,0,0
358,블랙앵거스 스테이크(씬 M),피자류,169,g,459,20,0,0
359,블랙앵거스 스테이크(슈퍼시드 함유 도우L),피자류,103,g,266,12,0,0
360,블랙앵거스 스테이크(슈퍼시드 함유 도우M),피자류,126,g,301,14,0,0
361,블랙앵거스 스테이크 더블치즈엣지(오리지널 L),피자류,158,g,369,17,0,0
362,블랙앵거스 스테이크 더블치즈엣지(오리지널 M),피자류,156,g,388,19,0,0
363,블랙타이거 슈림프(오리지널 L),피자류,198,g,488,23,0,0
364,블랙타이거 슈림프(오리지널 M),피자류,123,g,288,13,0,0
365,블랙타이거 슈림프(나폴리M),피자류,191,g,453,20,0,0
366,블랙타이거 슈림프(나폴리L),피자류,159,g,358,18,0,0
367,블랙타이거 슈림프(씬 M),피자류,188,g,431,20,0,0
368,블랙타이거 슈림프(씬 L),피자류,125,g,308,14,0,0
369,블랙타이거 슈림프(슈퍼시드 함유 도우L),피자류,157,g,403,18,0,0
370,블랙타이거 슈림프 더블치즈엣지(오리지널 L),피자류,118,g,290,13,0,0
371,블랙타이거슈림프(슈퍼시드 함유 도우M),피자류,144,g,363,18,0,0
372,블랙타이거슈림프 더블치즈엣지(오리지널 M),피자류,193,g,468,21,0,0
373,슈퍼디럭스(오리지널 L),피자류,248,g,625,32,0,0
374,슈퍼디럭스(오리지널 M),피자류,134,g,307,17,0,0
375,슈퍼디럭스(나폴리L),피자류,150,g,386,19,0,0
376,슈퍼디럭스(나폴리M),피자류,107,g,251,12,0,0
377,슈퍼디럭스(씬 L),피자류,118,g,282,15,0,0
378,슈퍼디럭스(씬 M),피자류,186,g,450,24,0,0
379,슈퍼디럭스(슈퍼시드 함유 도우L),피자류,155,g,393,20,0,0
380,슈퍼디럭스(슈퍼시드 함유 도우M),피자류,133,g,332,14,0,0
381,슈퍼디럭스 더블치즈엣지(오리지널 L),피자류,149,g,373,16,0,0
382,슈퍼디럭스 더블치즈엣지(오리지널 M),피자류,159,g,359,19,0,0
383,슈퍼슈프림(오리지널 L),피자류,188,g,452,24,0,0
384,슈퍼슈프림(오리지널 M),피자류,151,g,321,17,0,0
385,슈퍼슈프림(나폴리L),피자류,168,g,366,20,0,0
386,슈퍼슈프림(나폴리M),피자류,123,g,246,14,0,0
387,슈퍼슈프림(씬 L),피자류,139,g,291,16,0,0
388,슈퍼슈프림(씬 M),피자류,111,g,236,13,0,0
389,슈퍼슈프림(슈퍼시드 함유 도우L),피자류,120,g,251,15,0,0
390,슈퍼슈프림(슈퍼시드 함유 도우M),피자류,146,g,335,15,0,0
391,슈퍼슈프림 더블치즈엣지(오리지널 L),피자류,165,g,385,19,0,0
392,슈퍼슈프림 더블치즈엣지(오리지널 M),피자류,172,g,374,21,0,0
393,와규 앤 비스테카(오리지널 L),피자류,193,g,433,24,0,0
